provider_id,provider_name,provider_type,state
PRV-0001,Provider 0001,specialist,MD
PRV-0002,Provider 0002,physician,CT
PRV-0003,Provider 0003,lab,AR
PRV-0004,Provider 0004,specialist,NC
PRV-0005,Provider 0005,hospital,MI
PRV-0006,Provider 0006,imaging,SC
PRV-0007,Provider 0007,specialist,NY
PRV-0008,Provider 0008,specialist,LA
PRV-0009,Provider 0009,hospital,NC
PRV-0010,Provider 0010,physician,CA
PRV-0011,Provider 0011,physician,CA
PRV-0012,Provider 0012,imaging,KY
PRV-0013,Provider 0013,specialist,CA
PRV-0014,Provider 0014,lab,NY
PRV-0015,Provider 0015,physician,PA
PRV-0016,Provider 0016,physician,TX
PRV-0017,Provider 0017,specialist,NY
PRV-0018,Provider 0018,hospital,WI
PRV-0019,Provider 0019,lab,CA
PRV-0020,Provider 0020,specialist,LA
PRV-0021,Provider 0021,specialist,OR
PRV-0022,Provider 0022,physician,IL
PRV-0023,Provider 0023,imaging,TX
PRV-0024,Provider 0024,lab,WA
PRV-0025,Provider 0025,specialist,TX
PRV-0026,Provider 0026,hospital,PA
PRV-0027,Provider 0027,physician,ID
PRV-0028,Provider 0028,hospital,VT
PRV-0029,Provider 0029,hospital,CO
PRV-0030,Provider 0030,specialist,NY
PRV-0031,Provider 0031,specialist,IN
PRV-0032,Provider 0032,imaging,MO
PRV-0033,Provider 0033,physician,IL
PRV-0034,Provider 0034,physician,TN
PRV-0035,Provider 0035,physician,CA
PRV-0036,Provider 0036,hospital,FL
PRV-0037,Provider 0037,hospital,MI
PRV-0038,Provider 0038,physician,TX
PRV-0039,Provider 0039,physician,TX
PRV-0040,Provider 0040,specialist,LA
PRV-0041,Provider 0041,physician,ND
PRV-0042,Provider 0042,lab,NJ
PRV-0043,Provider 0043,specialist,LA
PRV-0044,Provider 0044,physician,ND
PRV-0045,Provider 0045,lab,TX
PRV-0046,Provider 0046,lab,GA
PRV-0047,Provider 0047,physician,IL
PRV-0048,Provider 0048,physician,CA
PRV-0049,Provider 0049,specialist,WI
PRV-0050,Provider 0050,hospital,OH
PRV-0051,Provider 0051,hospital,GA
PRV-0052,Provider 0052,hospital,TX
PRV-0053,Provider 0053,specialist,TX
PRV-0054,Provider 0054,specialist,NV
PRV-0055,Provider 0055,specialist,CA
PRV-0056,Provider 0056,specialist,FL
PRV-0057,Provider 0057,physician,NY
PRV-0058,Provider 0058,specialist,NC
PRV-0059,Provider 0059,hospital,VA
PRV-0060,Provider 0060,hospital,NC
PRV-0061,Provider 0061,specialist,CA
PRV-0062,Provider 0062,physician,FL
PRV-0063,Provider 0063,specialist,KY
PRV-0064,Provider 0064,specialist,AZ
PRV-0065,Provider 0065,specialist,TN
PRV-0066,Provider 0066,specialist,MA
PRV-0067,Provider 0067,specialist,CO
PRV-0068,Provider 0068,physician,CA
PRV-0069,Provider 0069,hospital,PA
PRV-0070,Provider 0070,physician,MI
PRV-0071,Provider 0071,physician,PA
PRV-0072,Provider 0072,physician,KY
PRV-0073,Provider 0073,lab,NC
PRV-0074,Provider 0074,physician,CO
